Term,Definition,Examples,
Economic living standards,This encompasses the economic living standards of basic life ,"E.g. Income, employment, employment opportunities, wealth, poverty, savings",
Material living standards,This encompasses the material living standards of basic life ,"E.g. Material assets owned, basic infrastructure (electricity, water, telecommunication and transportation), shelter, resource use (this can incude sustainable use/harvest)",
Health,Any component of mental or physical health,"E.g. Physical health, longevity/life expectancy, maternal health, child health, access to health care, nutrition, occurrence of diseases, mental health",
Education,"Includes education infrastructure, informal and formal education","Education infrastructure (Access to school, access to training, quality of education); Informal education (transfer of knowledge, livelihood skills, traditional ecological knowledge/local ecological knowledge); Formal education (degrees awarded, students enrolled)",
Social relations,"Clarify at: between individuals, within and/or between groups (communities, stakeholders, ethnic groups, genders)","E.g. Conflict, relationships, connectedness, ability to work together, ability to help others, resilience to disturbances or shock",
Security and safety,See examples,"Physical security (includes personal security and safety), economic security, political security, human rights, land tenure, resource management rights, access to natural resources, food and water security, vulnerability, resilience and adaptive capacity",
Governance and empowerment,Structures and processes for decision making including both formal and informal rules ,"E.g. participation and control in decision-making, accountability, justice, transparency, governanace skills",
Subjective well-being,Personal well-being,"Measures of happiness, quality of life, satisfaction supported by some value of ecosystem and/or resource ",
Culture & spirituality,See examples,"Cultural, societal and traditional values of natural resources and nature to the community; Sense of home; Cultural identity and heritage ",
Freedom of choice & action,Ability to pursue what you value doing and being ,Choice,
Marine,Defined by WWF marine major habitat types and ecoregions (Spaulding et al. 2007),"Polar, Temperate Shelfs & Seas, Temperate Upwelling, Tropical Upwelling, Tropical/Subtropical Shelfs & Seas, Tropical Coral Reefs",
Freshwater,Defined by WWF major freshwater habitat types and ecoregions (Abell et al. 2008),"Large lakes, Large river deltas, Polar freshwaters, Montane freshwaters, Temperate coastal rivers, Temperate floodplain rivers & wetland complexes, temperate upland rivers, Tropical/subtropical coastal rivers, Tropical/sub-tropical floodplain rivers & wetland complexes, Tropical/subtropical upland rivers, Xeric freshwaters & endorheic (closed) basins, Oceanic islands                                  ",
Grasslands,Defined by WWF terrestrial ecoregions of the world (TEOW) (Olson et al. 2001),"Tropical/subtropical moist broadleaf forests, Tropical/subtropical dry broadleaf forests, Tropical/subtropical coniferous forests, Temperate broadleaf & mixed forests, Temperate coniferous forests, Boreal/forests/Taiga, Mediterranean forests, woodlands & scrubs",
Forests,Defined by WWF terrestrial ecoregions of the world (TEOW) (Olson et al. 2001),"Tropical/subtropical grasslands, savannas & shrublands, temperate grasslands, savannas & shrublands, Flooded grasslands & savannas, Montane grasslands & savannas",
Tundra,Defined by WWF terrestrial ecoregions of the world (TEOW) (Olson et al. 2001),Tundra,
Deserts,Defined by WWF terrestrial ecoregions of the world (TEOW) (Olson et al. 2001),Deserts & xeric shrublands,
Mangrove,Defined by WWF terrestrial ecoregions of the world (TEOW) (Olson et al. 2001),Mangroves,
Experimental,Random assignment of subjects to treated (experimental) and untreated (control) groups,,
Quasi-experimental,Similar to experimental but lacks random assignment,,
Non-experimental,"Draws inferences about the effect of a treatment on subjects, where assignment of subjects into a treated versus control group is outside the researcher's control",,
Non-systematic review,"Review of literature with clearly defined methods, but non-systematic searching, screening, and extraction of data",,
Systematic review,"Review of literature with clearly defined methods using a systematic protocol for searching, screening, and extracting data",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,", "
,,,
,,,
,,,
,,,
