Country,Region,code,Subregion
Guam,Oceania,GUM,Micronesia
Guatemala,Latin America,GTM,Central America
Guernsey,Europe,GGY,Northern Europe
Guinea,Africa,GIN,Western Africa
Guinea-Bissau,Africa,GNB,Western Africa
Guyana,Latin America,GUY,South America
Haiti,Latin America,HTI,Caribbean
Honduras,Latin America,HND,Central America
Hong Kong,Asia,HKG,Eastern Asia
Hungary,Europe,HUN,Eastern Europe
Iceland,Europe,ISL,Northern Europe
India,Asia,IND,Southern Asia
Indonesia,Asia,IDN,South-Eastern Asia
"Iran, Islamic Republic Of",Asia,IRN,Southern Asia
Iraq,Asia,IRQ,Western Asia
Ireland,Europe,IRL,Northern Europe
Isle of Man,Europe,IMN,Northern Europe
Israel,Asia,ISR,Western Asia
Italy,Europe,ITA,Southern Europe
Jamaica,Latin America,JAM,Caribbean
Japan,Asia,JPN,Eastern Asia
Jersey,Europe,JEY,Northern Europe
Jordan,Asia,JOR,Western Asia
Kazakhstan,Asia,KAZ,Central Asia
Kenya,Africa,KEN,Eastern Africa
Kiribati,Oceania,KIR,Micronesia
"Korea, North",Asia,KOR,Eastern Asia
"Korea, South",Asia,PRK,Eastern Asia
Kosovo,Europe,KSV,Southern Europe
Kuwait,Asia,KWT,Western Asia
Kyrgyzstan,Asia,KGZ,Central Asia
Lao People's Democratic Republic,Asia,LAO,South-Eastern Asia
Latvia,Europe,LVA,Northern Europe
Lebanon,Asia,LBN,Western Asia
Lesotho,Africa,LSO,Southern Africa
Liberia,Africa,LBR,Western Africa
Libya,Africa,LBY,Northern Africa
Liechtenstein,Europe,LIE,Western Europe
Lithuania,Europe,LTU,Northern Europe
Luxembourg,Europe,LUX,Western Europe
Macau,Asia,MAC,Eastern Asia
Macedonia,Europe,MKD,Southern Europe
Madagascar,Africa,MDG,Eastern Africa
Malawi,Africa,MWI,Eastern Africa
Malaysia,Asia,MYS,South-Eastern Asia
Maldives,Asia,MDV,Southern Asia
Mali,Africa,MLI,Western Africa
Malta,Europe,MLT,Southern Europe
Marshall Islands,Oceania,MHL,Micronesia
Mauritania,Africa,MRT,Western Africa
Mauritius,Africa,MUS,Eastern Africa
Mexico,Latin America,MEX,Central America
"Micronesia, Federated States of",Oceania,FSM,Micronesia
Moldova,Europe,MDA,Eastern Europe
Monaco,Europe,MCO,Western Europe
Mongolia,Asia,MNG,Eastern Asia
Montenegro,Europe,MNE,Southern Europe
Morocco,Africa,MAR,Northern Africa
Mozambique,Africa,MOZ,Eastern Africa
Myanmar,Asia,MMR,South-Eastern Asia
Namibia,Africa,NAM,Southern Africa
Nauru,Oceania,NRU,Micronesia
Nepal,Asia,NPL,Southern Asia
Netherlands,Europe,NLD,Western Europe
New Caledonia,Oceania,NCL,Melanesia
New Zealand,Oceania,NZL,Australia and New Zealand
Nicaragua,Latin America,NIC,Central America
Niger,Africa,NER,Western Africa
Nigeria,Africa,NGA,Western Africa
Niue,Oceania,NIU,Polynesia
Northern Mariana Islands,Oceania,MNP,Micronesia
Norway,Europe,NOR,Northern Europe
Oman,Asia,OMN,Western Asia
Pakistan,Asia,PAK,Southern Asia
Palau,Oceania,PLW,Micronesia
Panama,Latin America,PAN,Central America
Papua New Guinea,Oceania,PNG,Melanesia
Paraguay,Latin America,PRY,South America
Peru,Latin America,PER,South America
Philippines,Asia,PHL,South-Eastern Asia
Poland,Europe,POL,Eastern Europe
Portugal,Europe,PRT,Southern Europe
Puerto Rico,Latin America,PRI,Caribbean
Qatar,Asia,QAT,Western Asia
Romania,Europe,ROU,Eastern Europe
Russian Federation,Europe,RUS,Eastern Europe
Rwanda,Africa,RWA,Eastern Africa
Saint Kitts and Nevis,Latin America,KNA,Caribbean
Saint Lucia,Latin America,LCA,Caribbean
Saint Martin,Latin America,MAF,Caribbean
Saint Pierre and Miquelon,Northern America,SPM,Northern America
Saint Vincent And The Grenadines,Latin America,VCT,Caribbean
Samoa,Oceania,WSM,Polynesia
San Marino,Europe,SMR,Southern Europe
Sao Tome and Principe,Africa,STP,Middle Africa
Saudi Arabia,Asia,SAU,Western Asia
Senegal,Africa,SEN,Western Africa
Serbia,Europe,SRB,Southern Europe
Seychelles,Africa,SYC,Eastern Africa
Sierra Leone,Africa,SLE,Western Africa
Singapore,Asia,SGP,South-Eastern Asia
Sint Maarten,Latin America,SXM,Caribbean
Slovakia,Europe,SVK,Eastern Europe
Slovenia,Europe,SVN,Southern Europe
Solomon Islands,Oceania,SLB,Melanesia
Somalia,Africa,SOM,Eastern Africa
South Africa,Africa,ZAF,Southern Africa
South Sudan,Africa,SSD,Eastern Africa
Spain,Europe,ESP,Southern Europe
Sri Lanka,Asia,LKA,Southern Asia
Sudan,Africa,SDN,Northern Africa
Suriname,Latin America,SUR,South America
Swaziland,Africa,SWZ,Southern Africa
Sweden,Europe,SWE,Northern Europe
Switzerland,Europe,CHE,Western Europe
Syria,Asia,SYR,Western Asia
"Taiwan, Province Of China",Asia,TWN,Eastern Asia
Tajikistan,Asia,TJK,Central Asia
"Tanzania, United Republic Of",Africa,TZA,Eastern Africa
Thailand,Asia,THA,South-Eastern Asia
Timor-Leste,Asia,TLS,South-Eastern Asia
Togo,Africa,TGO,Western Africa
Tonga,Oceania,TON,Polynesia
Trinidad and Tobago,Latin America,TTO,Caribbean
Tunisia,Africa,TUN,Northern Africa
Turkey,Asia,TUR,Western Asia
Turkmenistan,Asia,TKM,Central Asia
Tuvalu,Oceania,TUV,Polynesia
Uganda,Africa,UGA,Eastern Africa
Ukraine,Europe,UKR,Eastern Europe
United Arab Emirates,Asia,ARE,Western Asia
United Kingdom,Europe,GBR,Northern Europe
United States,Northern America,USA,Northern America
Uruguay,Latin America,URY,South America
Uzbekistan,Asia,UZB,Central Asia
Vanuatu,Oceania,VUT,Melanesia
Venezuela,Latin America,VEN,South America
Viet Nam,Asia,VNM,South-Eastern Asia
Virgin Islands,Latin America,VGB,Caribbean
West Bank,Asia,WBG,Western Asia
Yemen,Asia,YEM,Western Asia
Zambia,Africa,ZMB,Eastern Africa
Zimbabwe,Africa,ZWE,Eastern Africa
Region - Africa & Madagascar,Africa,NA,NA
Region - Asia Pacific,Asia,NA,NA
Region - Central & South America,Latin America,NA,NA
Global,NA,NA,NA
